,CBSA Code,Census Population,CBSA Title,Population,Age Adjusted Accidental Death Rate per 100000,Year,Smoking rate,Binge drinking rate,"Property crime rate per 100,000","Violent crime rate per 100,000"
376,49340.0,942475,"Worcester, MA-CT",16262459.0,32.4,2017.0,15.32,17.34,1344.3,360.2
259,36540.0,934184,"Omaha-Council Bluffs, NE-IA",15125277.0,33.0,2017.0,16.6,20.64,2764.9,384.5
5,10740.0,913113,"Albuquerque, NM",15049954.0,60.7,2017.0,16.73,14.24,5498.9,1084.9
144,24860.0,895923,"Greenville-Anderson, SC",14351469.0,52.7,2017.0,17.62,12.6,,
22,12540.0,893119,"Bakersfield, CA",14181056.0,47.6,,,,3246.6,559.8
4,10580.0,886188,"Albany-Schenectady-Troy, NY",15466849.0,22.5,2017.0,15.77,15.62,1954.7,291.2
185,28940.0,877874,"Knoxville, TN",14602847.0,57.0,2017.0,27.26,13.33,2596.9,440.1
221,32580.0,860661,"McAllen-Edinburg-Mission, TX",12903062.0,24.8,2012.0,14.14,17.63,2514.3,292.9
247,35300.0,860435,"New Haven-Milford, CT",15294293.0,37.8,2012.0,18.31,15.49,2413.7,307.4
263,37100.0,854223,"Oxnard-Thousand Oaks-Ventura, CA",14508263.0,30.0,,,,1874.1,262.5
109,21340.0,842677,"El Paso, TX",13798307.0,32.7,2017.0,10.85,19.22,1686.6,356.3
7,10900.0,840550,"Allentown-Bethlehem-Easton, PA-NJ",14352019.0,37.5,2017.0,18.56,16.15,1667.0,237.5
26,12940.0,834159,"Baton Rouge, LA",13890020.0,48.1,2017.0,21.69,20.49,3937.5,546.8
78,17900.0,825004,"Columbia, SC",13175878.0,45.4,2017.0,16.91,17.16,,
251,35840.0,804690,"North Port-Sarasota-Bradenton, FL",12301144.0,50.2,2017.0,16.03,16.63,1783.1,354.0
91,19380.0,803416,,14447964.0,55.4,2017.0,19.77,18.9,,
63,16700.0,775831,"Charleston-North Charleston, SC",11505391.0,44.1,2017.0,18.85,22.62,,
142,24660.0,761184,"Greensboro-High Point, NC",12604885.0,46.0,2014.0,19.9,14.12,,
337,44700.0,745424,"Stockton, CA",11877799.0,42.3,,,,,
54,15980.0,739224,"Cape Coral-Fort Myers, FL",10452739.0,52.6,,,,1516.7,309.2
206,30780.0,738082,"Little Rock-North Little Rock-Conway, AR",12131813.0,42.5,2017.0,24.82,18.16,4088.2,798.6
76,17820.0,723878,"Colorado Springs, CO",11137645.0,43.8,2017.0,16.09,15.62,2614.8,431.8
41,14260.0,710323,"Boise City, ID",10427242.0,35.7,2017.0,12.66,15.55,1761.9,235.0
1,10420.0,703505,"Akron, OH",12625850.0,36.8,2015.0,27.8,20.38,2541.0,277.3
192,29460.0,686483,"Lakeland-Winter Haven, FL",10292483.0,49.1,,,,1960.1,285.1
375,49180.0,667733,"Winston-Salem, NC",11146868.0,45.7,2013.0,26.55,11.52,,
256,36260.0,666547,"Ogden-Clearfield, UT",10172408.0,35.7,2017.0,9.51,10.73,2095.7,162.3
339,45060.0,654841,"Syracuse, NY",11829668.0,35.8,2016.0,19.43,19.91,2051.7,267.8
216,31540.0,654230,"Madison, WI",10617266.0,39.0,2014.0,11.33,23.54,1826.0,228.6
94,19660.0,649202,"Deltona-Daytona Beach-Ormond Beach, FL",10239302.0,48.2,2017.0,19.18,14.06,2483.7,354.8
370,48620.0,646542,"Wichita, KS",11032508.0,46.2,2017.0,18.73,15.56,,
96,19780.0,645911,"Des Moines-West Des Moines, IA",9881430.0,34.6,2017.0,14.42,21.51,,
332,44140.0,631652,"Springfield, MA",11154049.0,29.8,2017.0,18.49,20.83,2170.7,503.8
280,39340.0,617678,"Provo-Orem, UT",8716146.0,35.2,2017.0,4.2,4.77,1530.0,79.8
345,45780.0,603668,"Toledo, OH",11031944.0,40.1,2017.0,19.82,21.99,,
20,12260.0,600600,"Augusta-Richmond County, GA-SC",9876079.0,45.4,2017.0,16.74,13.43,,
264,37340.0,589162,"Palm Bay-Melbourne-Titusville, FL",9534289.0,50.0,,,,2430.6,460.6
167,27140.0,578794,"Jackson, MS",10005118.0,45.1,2017.0,15.8,12.83,2440.0,337.7
149,25420.0,571903,"Harrisburg-Carlisle, PA",9678213.0,35.7,2012.0,18.43,17.57,1520.9,282.1
102,20500.0,567428,"Durham-Chapel Hill, NC",8748691.0,35.9,2013.0,14.6,14.44,,
330,44060.0,564291,"Spokane-Spokane Valley, WA",9185708.0,54.1,2017.0,16.86,13.71,4473.1,322.1
318,42540.0,555426,"Scranton--Wilkes-Barre, PA",10073856.0,45.2,2013.0,22.81,21.11,,
66,16860.0,554876,"Chattanooga, TN-GA",9249007.0,45.5,2016.0,21.11,11.42,3394.1,557.3
